"タイトル","リンクURL","イメージ画像URL（小）","イメージ画像URL（中）","カテゴリ","ジャンル","著者","出版社（発売元）","出版日（発売日）","ISBN/JAN","定価","アマゾン価格","ASIN（アマゾン商品コード）","登録日","更新日","タグ","コメント","評価","ウィッシュ","所有","お気に入り","購入日","購入金額","状態","読了日","公開・非公開"
"フルメタル・パニック! アナザーSS (ファンタジア文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4040706676/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/61D6toNJwYL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/61D6toNJwYL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","大黒 尚人","KADOKAWA/富士見書房","2016-02-20","9784040706672","0","648","4040706676","2016/05/08 05:08:04","2016/05/18 23:35:54","","","0","","","","","","読了","2016-05-18","0"
"フルメタル・パニック! アナザー (12) (ファンタジア文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4040706692/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/61xSkYdxaYL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/61xSkYdxaYL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","大黒 尚人","KADOKAWA/富士見書房","2016-02-20","9784040706696","0","670","4040706692","2016/05/08 05:08:18","2016/05/17 10:19:08","","","0","","","","","","読了","2016-05-17","0"
"新約 とある魔術の禁書目録 (14) (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048655078/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51ZYv%2BC%2BOeL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51ZYv%2BC%2BOeL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","鎌池和馬","KADOKAWA/アスキー・メディアワークス","2015-11-10","9784048655071","0","659","4048655078","2016/05/08 05:08:34","2016/05/23 04:30:56","","","0","","","","","","読了","2016-05-23","0"
"新約 とある魔術の禁書目録 (15) (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4048658840/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/61SGaq%2B8jcL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/61SGaq%2B8jcL._SL160_.jpg","本・雑誌","コミック・ラノベ・BL","鎌池和馬","KADOKAWA/アスキー・メディアワークス","2016-04-09","9784048658843","0","702","4048658840","2016/05/08 05:08:41","2016/05/23 04:31:00","","","0","","","","","","読了","2016-05-23","0"
"「正しさ」にふりまわされないコツ","http://www.amazon.co.jp/exec/obidos/ASIN/4022513799/mmarker-22/ref=nosim","http://ecx.images-amazon.com/images/I/51WbSY29sfL._SL75_.jpg","http://ecx.images-amazon.com/images/I/51WbSY29sfL._SL160_.jpg","本・雑誌","人文・思想","和田 秀樹","朝日新聞出版","2016-05-20","9784022513793","1,296","1,296","4022513799","2016/06/05 23:57:01","2016/06/05 23:57:01","","","0","","","","","","未読","","0"
"実践ドメイン駆動設計 (Object Oriented SELECTION)","http://www.amazon.co.jp/exec/obidos/ASIN/479813161X/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/61NEeFU8lhL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/61NEeFU8lhL._SL160_.jpg","本・雑誌","コンピュータ・IT","ヴァーン・ヴァーノン","翔泳社","2015-03-17","9784798131610","0","5,616","479813161X","2016/06/07 16:41:03","2016/06/07 16:41:03","","","0","","","","","","未読","","0"
"いつも「時間がない」あなたに:欠乏の行動経済学","http://www.amazon.co.jp/exec/obidos/ASIN/4152095245/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51joKvjZZgL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51joKvjZZgL._SL160_.jpg","本・雑誌","ビジネス・経済","センディル・ ムッライナタン, エルダー・ シャフィール","早川書房","2015-02-20","9784152095244","0","7,487","4152095245","2016/06/07 16:41:29","2016/06/07 16:41:29","","","0","","","","","","未読","","0"
"新装版 リファクタリング―既存のコードを安全に改善する― (OBJECT TECHNOLOGY SERIES)","http://www.amazon.co.jp/exec/obidos/ASIN/427405019X/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51RWpUlhNxL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51RWpUlhNxL._SL160_.jpg","本・雑誌","コンピュータ・IT","Martin Fowler","オーム社","2014-07-26","9784274050190","0","4,536","427405019X","2016/06/23 12:37:43","2016/06/28 16:37:48","","","0","","","","","","読了","2016-06-28","0"
"グッド・マス ギークのための数・論理・計算機科学","http://www.amazon.co.jp/exec/obidos/ASIN/4274218961/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51ndMRNeT%2BL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51ndMRNeT%2BL._SL160_.jpg","本・雑誌","コンピュータ・IT","Mark C. Chu‐Carroll","オーム社","2016-06-25","9784274218965","0","2,808","4274218961","2016/06/27 02:12:17","2016/06/27 02:12:17","","","0","","","","","","未読","","0"
"ITシステム開発はなぜ失敗するのか","http://www.amazon.co.jp/exec/obidos/ASIN/4344971884/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51YGcPRwMbL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51YGcPRwMbL._SL160_.jpg","本・雑誌","ビジネス・経済","日下 ヤスユキ","幻冬舎","2015-03-24","9784344971882","0","1,620","4344971884","2016/06/27 02:16:03","2016/06/27 02:16:03","","","0","","","","","","未読","","0"
"CODE COMPLETE 第2版 下 完全なプログラミングを目指して","http://www.amazon.co.jp/exec/obidos/ASIN/4891004568/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/510NHJ2MX1L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/510NHJ2MX1L._SL160_.jpg","本・雑誌","コンピュータ・IT","スティーブ マコネル","日経BP社","2005-03-26","9784891004569","0","6,588","4891004568","2016/06/27 02:16:20","2016/06/27 02:16:20","","","0","","","","","","未読","","0"
"プログラムはこうして作られるプログラマの頭の中をのぞいてみよう","http://www.amazon.co.jp/exec/obidos/ASIN/479803925X/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/419lvr9hCTL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/419lvr9hCTL._SL160_.jpg","本・雑誌","コンピュータ・IT","平山 尚(株式会社セガ)","秀和システム","2013-09-25","9784798039251","0","1,944","479803925X","2016/06/27 02:16:55","2016/06/27 02:16:55","","","0","","","","","","未読","","0"
"コンピュータはなぜ動くのか～知っておきたいハードウエア＆ソフトウエアの基礎知識～","http://www.amazon.co.jp/exec/obidos/ASIN/4822281655/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51W5%2Bjv%2BJyL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51W5%2Bjv%2BJyL._SL160_.jpg","本・雑誌","ビジネス・経済","矢沢 久雄, 日経ソフトウエア","日経BP社","2003-06-02","9784822281656","0","2,592","4822281655","2016/06/27 02:17:07","2016/06/27 02:17:07","","","0","","","","","","未読","","0"
"ネットワークはなぜつながるのか 第2版 知っておきたいTCP/IP、LAN、光ファイバの基礎知識","http://www.amazon.co.jp/exec/obidos/ASIN/4822283119/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51xzk4tjGgL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51xzk4tjGgL._SL160_.jpg","本・雑誌","科学・テクノロジー","戸根 勤","日経BP社","2007-04-12","9784822283117","0","2,592","4822283119","2016/06/27 02:17:24","2016/06/27 02:17:24","","","0","","","","","","未読","","0"
"神様が殺してくれる","http://www.amazon.co.jp/exec/obidos/ASIN/4344024095/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/513SUpEtrQL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/513SUpEtrQL._SL160_.jpg","本・雑誌","文学・評論","森 博嗣","幻冬舎","2013-06-27","9784344024090","0","1,836","4344024095","2016/06/27 02:18:06","2016/06/27 02:18:06","","","0","","","","","","未読","","0"
"グローバル エリート 世界で成功する英語力とビジネス力を身につける方法","http://www.amazon.co.jp/exec/obidos/ASIN/4794602812/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51SfgORhI-L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51SfgORhI-L._SL160_.jpg","本・雑誌","語学・辞事典・年鑑","ロッシェル・カップ, ジリアン・ヨーク","IBCパブリッシング","2014-05-24","9784794602817","0","1,620","4794602812","2016/07/02 11:27:28","2016/07/02 11:27:28","","","0","","","","","","未読","","0"
"なぜ、あなたの仕事は終わらないのか スピードは最強の武器である","http://www.amazon.co.jp/exec/obidos/ASIN/4905073413/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51ktf3IYA9L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51ktf3IYA9L._SL160_.jpg","本・雑誌","ビジネス・経済","中島聡","文響社","2016-06-01","9784905073413","0","1,490","4905073413","2016/07/09 01:01:07","2016/07/09 01:01:07","","","0","","","","","","未読","","0"
"ソフトウェア見積り","http://www.amazon.co.jp/exec/obidos/ASIN/489100522X/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41EcDXbubFL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41EcDXbubFL._SL160_.jpg","本・雑誌","コンピュータ・IT","スティーブ マコネル","日経BP社","2006-10-07","9784891005221","0","0","489100522X","2016/07/09 01:01:34","2016/07/09 01:01:34","","","0","","","","","","未読","","0"
"葉桜が来た夏<葉桜が来た夏> (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/B0129ZQRP0/mmarker-22/ref=nosim","http://ecx.images-amazon.com/images/I/51uUTfW-7PL._SL75_.jpg","http://ecx.images-amazon.com/images/I/51uUTfW-7PL._SL160_.jpg","キンドル","","夏海 公司","KADOKAWA / アスキー・メディアワークス","2013-05-09","","0","0","B0129ZQRP0","2016/07/20 08:06:29","2016/07/20 08:06:29","","","0","","","","","","読了","2016-07-20","0"
"葉桜が来た夏2　星祭のロンド<葉桜が来た夏> (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/B0129ZQRTQ/mmarker-22/ref=nosim","http://ecx.images-amazon.com/images/I/61G-IMvB%2BzL._SL75_.jpg","http://ecx.images-amazon.com/images/I/61G-IMvB%2BzL._SL160_.jpg","キンドル","","夏海 公司","KADOKAWA / アスキー・メディアワークス","2013-05-09","","0","0","B0129ZQRTQ","2016/07/20 08:06:42","2016/07/20 08:06:42","","","0","","","","","","読了","2016-07-20","0"
"葉桜が来た夏3　白夜のオーバード<葉桜が来た夏> (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/B0129ZQTM6/mmarker-22/ref=nosim","http://ecx.images-amazon.com/images/I/61oanbvZ-mL._SL75_.jpg","http://ecx.images-amazon.com/images/I/61oanbvZ-mL._SL160_.jpg","キンドル","","夏海 公司","KADOKAWA / アスキー・メディアワークス","2013-05-09","","0","0","B0129ZQTM6","2016/07/20 08:06:59","2016/07/20 08:07:05","","","0","","","","","","読了","2016-07-20","0"
"葉桜が来た夏4　ノクターン<葉桜が来た夏> (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/B0129ZQTK8/mmarker-22/ref=nosim","http://ecx.images-amazon.com/images/I/61cEt4fVqIL._SL75_.jpg","http://ecx.images-amazon.com/images/I/61cEt4fVqIL._SL160_.jpg","キンドル","","夏海 公司","KADOKAWA / アスキー・メディアワークス","2013-05-09","","0","0","B0129ZQTK8","2016/07/20 08:07:19","2016/07/20 08:07:19","","","0","","","","","","読了","2016-07-20","0"
"葉桜が来た夏5　オラトリオ<葉桜が来た夏> (電撃文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/B0129ZQTOY/mmarker-22/ref=nosim","http://ecx.images-amazon.com/images/I/61AqRldVJTL._SL75_.jpg","http://ecx.images-amazon.com/images/I/61AqRldVJTL._SL160_.jpg","キンドル","","夏海 公司","KADOKAWA / アスキー・メディアワークス","2013-05-09","","0","0","B0129ZQTOY","2016/07/20 08:07:33","2016/07/20 08:07:33","","","0","","","","","","読了","2016-07-20","0"
"Scalaスケーラブルプログラミング第2版","http://www.amazon.co.jp/exec/obidos/ASIN/4844330845/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/415CsfYp64L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/415CsfYp64L._SL160_.jpg","本・雑誌","コンピュータ・IT","Martin Odersky, Lex Spoon, Bill Venners","インプレス","2011-09-27","9784844330844","0","4,968","4844330845","2016/07/22 04:16:11","2016/07/22 04:16:11","","","0","","","","","","未読","","0"
"その数式、プログラムできますか？","http://www.amazon.co.jp/exec/obidos/ASIN/4798141100/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51DGWCPI7gL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51DGWCPI7gL._SL160_.jpg","本・雑誌","コンピュータ・IT","Alexander A. Stepanov, Daniel E. Rose","翔泳社","2015-05-19","9784798141107","0","2,808","4798141100","2016/07/23 03:18:16","2016/07/23 03:18:16","","","0","","","","","","未読","","0"
"SOFT SKILLS ソフトウェア開発者の人生マニュアル","http://www.amazon.co.jp/exec/obidos/ASIN/4822251551/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41YPVaA69ZL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41YPVaA69ZL._SL160_.jpg","本・雑誌","ビジネス・経済","ジョン・ソンメズ","日経BP社","2016-05-20","9784822251550","0","3,024","4822251551","2016/07/23 04:44:00","2016/07/23 04:44:00","","","0","","","","","","未読","","0"
"帰ってきたヒトラー 上","http://www.amazon.co.jp/exec/obidos/ASIN/4309206409/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/31xuZjwnnGL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/31xuZjwnnGL._SL160_.jpg","本・雑誌","文学・評論","ティムール ヴェルメシュ","河出書房新社","2014-01-21","9784309206400","0","1,728","4309206409","2016/08/06 16:21:55","2016/08/06 16:21:55","","","0","","","","","","未読","","0"
"ライト、ついてますか―問題発見の人間学","http://www.amazon.co.jp/exec/obidos/ASIN/4320023684/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/410X6YM9F7L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/410X6YM9F7L._SL160_.jpg","本・雑誌","人文・思想","ドナルド・C・ゴース, G.M.ワインバーグ","共立出版","1987-10-25","9784320023680","0","2,160","4320023684","2016/08/06 16:22:13","2016/08/06 16:22:13","","","0","","","","","","未読","","0"
"日本沈没〈上〉 (光文社文庫)","http://www.amazon.co.jp/exec/obidos/ASIN/4334720439/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/41KQ89SXG1L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/41KQ89SXG1L._SL160_.jpg","本・雑誌","文芸作品","小松 左京","光文社","1995-04","9784334720438","669","0","4334720439","2016/08/18 02:24:31","2016/08/18 02:24:31","","","0","","","","","","未読","","0"
"ウェブデータの機械学習 (機械学習プロフェッショナルシリーズ)","http://www.amazon.co.jp/exec/obidos/ASIN/4061529188/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51r-CXfEyZL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51r-CXfEyZL._SL160_.jpg","本・雑誌","コンピュータ・IT","ダヌシカ・ボレガラ, 岡崎 直観, 前原 貴憲","講談社","2016-08-25","9784061529182","0","3,024","4061529188","2016/08/26 02:32:57","2016/08/26 02:32:57","","","0","","","","","","未読","","0"
"コンテナ物語―世界を変えたのは「箱」の発明だった","http://www.amazon.co.jp/exec/obidos/ASIN/4822245640/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51ZgZoHow0L._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51ZgZoHow0L._SL160_.jpg","本・雑誌","ビジネス・経済","マルク・レビンソン","日経BP社","2007-01-18","9784822245641","0","3,024","4822245640","2016/08/31 00:22:20","2016/08/31 00:22:20","","","0","","","","","","未読","","0"
"16歳からの交渉力","http://www.amazon.co.jp/exec/obidos/ASIN/4788911566/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/514lOuzj3PL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/514lOuzj3PL._SL160_.jpg","本・雑誌","ビジネス・経済","田村次朗","実務教育出版","2015-09-25","9784788911567","0","1,296","4788911566","2016/09/03 23:07:29","2016/09/03 23:07:29","","","0","","","","","","未読","","0"
"プログラマ脳を鍛える数学パズル シンプルで高速なコードが書けるようになる70問","http://www.amazon.co.jp/exec/obidos/ASIN/479814245X/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51x3ZplSvEL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51x3ZplSvEL._SL160_.jpg","本・雑誌","コンピュータ・IT","増井 敏克","翔泳社","2015-10-14","9784798142456","0","2,786","479814245X","2016/09/03 23:49:22","2016/09/03 23:49:22","","","0","","","","","","未読","","0"
"ソフトウェアテスト技法","http://www.amazon.co.jp/exec/obidos/ASIN/4822710017/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/51UAAbPfKIL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/51UAAbPfKIL._SL160_.jpg","本・雑誌","コンピュータ・IT","ボーリス バイザー","日経BP社","1994-02-26","9784822710019","0","24,422","4822710017","2016/09/15 02:15:10","2016/09/15 02:15:10","","","0","","","","","","未読","","0"
"犬は「びよ」と鳴いていた―日本語は擬音語・擬態語が面白い (光文社新書)","http://www.amazon.co.jp/exec/obidos/ASIN/4334031560/mmarker-22/ref=nosim","https://images-fe.ssl-images-amazon.com/images/I/3120BOQ5PeL._SL75_.jpg","https://images-fe.ssl-images-amazon.com/images/I/3120BOQ5PeL._SL160_.jpg","本・雑誌","言語学","山口 仲美","光文社","2002-08-20","9784334031565","0","799","4334031560","2016/09/16 02:19:27","2016/09/16 02:19:27","","","0","","","","","","未読","","0"
